
Frederik Andersen,Frederik Andersen,1.0
Frederik Gauthier,Frederik Gauthier,1.0
Fredrik Claesson,Fredrik Claesson,1.0
Gabriel Bourque,Gabriel Bourque,1.0
Gabriel Carlsson,Gabriel Carlsson,1.0
Gabriel Landeskog,Gabriel Landeskog C,0.9444444444444444
Gaetan Haas,Gaetan Haas,1.0
Garnet Hathaway,Garnet Hathaway,1.0
Garret Sparks,Garret Sparks,1.0
Garrett Wilson,Garrett Wilson,1.0
Gavin Bayreuther,Gavin Bayreuther,1.0
Gemel Smith,Gemel Smith,1.0
Greg McKegg,Greg McKegg,1.0
Greg Pateryn,Greg Pateryn,1.0
Guillaume Brisebois,Guillaume Brisebois,1.0
Gustav Forsling,Gustav Forsling,1.0
Gustav Nyquist,Gustav Nyquist,1.0
Hampus Lindholm,Hampus Lindholm,1.0
Haydn Fleury,Haydn Fleury,1.0
Henri Jokiharju,Henri Jokiharju,1.0
Henrik Borgstrom,Henrik Borgstrxc3xb6m,0.8108108108108109
Henrik Lundqvist,Henrik Lundqvist,1.0
Matt Niskanen,Hunter Miska,0.48
Ian Cole,Ian Cole,1.0
Ian McCoshen,Ian McCoshen,1.0
Igor Ozhiganov,Igor Ozhiganov,1.0
Ilya Kovalchuk,Ilya Kovalchuk,1.0
Ilya Lyubushkin,Ilya Lyubushkin,1.0
Ilya Mikheyev,Ilya Mikheyev,1.0
Ilya Samsonov,Ilya Samsonov,1.0
Isac Lundestrom,Isac Lundestrom,1.0
Ivan Barbashev,Ivan Barbashev,1.0
Ivan Provorov,Ivan Provorov,1.0
J.T. Brown,J.T. Brown,1.0
J.T. Miller,J.T. Miller,1.0
Jaccob Slavin,Jaccob Slavin,1.0
Jack Campbell,Jack Campbell,1.0
Jack Eichel,Jack Eichel C,0.9166666666666666
Jack Hughes,Jack Hughes,1.0
Jack Johnson,Jack Johnson,1.0
Jack Rodewald,Jack Rodewald,1.0
Jack Roslovic,Jack Roslovic,1.0
Jacob De La Rose,Jacob de la Rose,0.875
Jacob Larsson,Jacob Larsson,1.0
Jaycob Megna,Jacob MacDonald,0.6666666666666666
Jacob Markstrom,Jacob Markstrom,1.0
Jaycob Megna,Jacob Middleton,0.6666666666666666
Jacob Larsson,Jacob Nilsson,0.7692307692307693
Jacob Trouba,Jacob Trouba,1.0
Jaden Schwartz,Jaden Schwartz,1.0
Jake Allen,Jake Allen,1.0
Jake Bean,Jake Bean,1.0
Jake McCabe,Jake Chelios,0.6086956521739131
Jake DeBrusk,Jake Debrusk,0.9166666666666666
Jake Dotchin,Jake Dotchin,1.0
Jake Gardiner,Jake Gardiner,1.0
Jake Guentzel,Jake Guentzel,1.0
Jake McCabe,Jake McCabe,1.0
Jake Muzzin,Jake Muzzin,1.0
Jake Virtanen,Jake Virtanen,1.0
Jakob Chychrun,Jakob Chychrun,1.0
J. Forsbacka Karlss...,Jakob Forsbacka Karlsson,0.782608695652174
Jakob Silfverberg,Jakob Silfverberg,1.0
Jakub Voracek,Jakub Jerabek,0.7692307692307693
Jakub Voracek,Jakub Voracek,1.0
Jakub Vrana,Jakub Vrana,1.0
Jakub Voracek,Jakub Zboril,0.64
James Neal,James Neal,1.0
James Reimer,James Reimer,1.0
James van Riemsdyk,James van Riemsdyk,1.0
Jamie Benn,Jamie Benn C,0.9090909090909091
Jamie McGinn,Jamie McGinn,1.0
Jamie Oleksiak,Jamie Oleksiak,1.0
Jan Rutta,Jan Rutta,1.0
Janne Kuokkanen,Janne Kuokkanen,1.0
Jared McCann,Jared McCann,1.0
Jared Spurgeon,Jared Spurgeon,1.0
Joey Anderson,Jaret AndersonDolan,0.6875
Jaroslav Halak,Jaroslav Halak,1.0
Jason Demers,Jason Demers,1.0
Jason Dickinson,Jason Dickinson,1.0
Jason Garrison,Jason Garrison,1.0
Jason Pominville,Jason Pominville,1.0
Jason Spezza,Jason Spezza,1.0
Jason Zucker,Jason Zucker,1.0
Jay Beagle,Jay Beagle,1.0
Jay Bouwmeester,Jay Bouwmeester,1.0
Jayce Hawryluk,Jayce Hawryluk,1.0
Jaycob Megna,Jaycob Megna,1.0
JeanGabriel Pageau,JeanGabriel Pageau,1.0
Sebastian Aho,JeanSebastien Dea,0.6
Jeff Carter,Jeff Carter,1.0
Jeff Petry,Jeff Petry,1.0
Jeff Skinner,Jeff Skinner,1.0
Jeremy Lauzon,Jeremy Lauzon,1.0
Jesper Boqvist,Jesper Boqvist,1.0
Jesper Bratt,Jesper Bratt,1.0
Jesper Fast,Jesper Fast,1.0
Jesperi Kotkaniemi,Jesperi Kotkaniemi,1.0
Jesse Puljujarvi,Jesse Puljujarvi,1.0
Jimmy Howard,Jimmy Howard,1.0
Jimmy Schuldt,Jimmy Schuldt,1.0
Jimmy Vesey,Jimmy Vesey,1.0
Joachim Blichfeld,Joachim Blichfeld,1.0
Joakim Nordstrom,Joakim Nordstrom,1.0
Joakim Nygard,Joakim Nygard,1.0
Joakim Ryan,Joakim Ryan,1.0
Joe Hicketts,Joe Hicketts,1.0
Joe Pavelski,Joe Pavelski,1.0
Joe Pavelski,Joe Pavelski C,0.9230769230769231
Joe Thornton,Joe Thornton,1.0
Joel Armia,Joel Armia,1.0
Joel Edmundson,Joel Edmundson,1.0
Joel Eriksson Ek,Joel Eriksson Ek,1.0
Joel Farabee,Joel Farabee,1.0
Joel Hanley,Joel Hanley,1.0
Joel LEsperance,Joel LEsperance,1.0
Joey Anderson,Joey Anderson,1.0
Joey Daccord,Joey Daccord,1.0
Johan Larsson,Johan Larsson,1.0
John Carlson,John Carlson,1.0
