"","Team","PlayerPosition","GameDate","Goals","Assists","Points","PlusMinus","Penalties","EGoals","PPGoals","SHGoals","GWGoals","EVAssits","PPAssits","SHAssits","ShotsOnGoal","ShootingPer","Shits","MP","Hits","Blocks","FaceOffWins","FaceOffLoss","FaceOffPer","GoalsOpp","AssistsOpp","EVAssitsOpp","ShotsOnGoalOpp","HitsOpp","BlocksOpp"
"53","CBJ","C","2019-03-24",0.2,0.22,0.42,0.6,0.2,0.18,0,0.02,0.02,0.22,0,0,1.5,7.33,18.48,903.72,1.04,0.44,3.96,3.88,35.122,0.2,0.32,0.24,1.5,0.94,0.34
"54","CBJ","F","2019-03-24",0.14,0.2,0.34,0.76,0.46,0.08,0.02,0.04,0.02,0.1,0.08,0.02,2.3,5.138,21.12,1032.84,1.26,0.3,0.9,1.46,9.242,0.2,0.26,0.24,1.28,1.2,0.42
"55","CBJ","D","2019-03-21",0.1,0.2,0.3,0.76,0.56,0.08,0.02,0,0.04,0.16,0.02,0.02,1.32,4.998,24.14,1111.44,1.76,1.28,0,0,0,0.08,0.2,0.18,1.54,1.22,1.52
"56","CBJ","C","2019-03-21",0.2,0.22,0.42,0.64,0.2,0.18,0,0.02,0.02,0.22,0,0,1.48,7.33,17.94,880.78,1.28,0.5,4.04,3.76,42.37,0.16,0.28,0.26,2.06,0.92,0.42
"57","CBJ","F","2019-03-21",0.14,0.24,0.38,0.82,0.46,0.08,0.02,0.04,0.02,0.12,0.1,0.02,2.4,5.138,20.86,1019.32,1.24,0.2,0.88,1.44,16.584,0.22,0.26,0.2,1.86,1.14,0.24
"58","CBJ","D","2019-03-19",0.1,0.2,0.3,0.84,0.4,0.08,0.02,0,0.04,0.18,0,0.02,1.4,4.998,23.74,1122.9,1.6,1.3,0,0,0,0.02,0.28,0.22,1.46,1.58,1.34
"59","CBJ","C","2019-03-19",0.2,0.22,0.42,0.6,0.24,0.18,0,0.02,0.02,0.22,0,0,1.4,7.33,17.04,851.5,1.46,0.54,3.96,3.38,32.37,0.22,0.16,0.14,1.9,1.2,0.52
"60","CBJ","F","2019-03-19",0.16,0.26,0.42,0.88,0.46,0.12,0,0.04,0.02,0.16,0.08,0.02,2.52,3.872,20.88,1024.74,1.16,0.2,0.88,1.38,9.764,0.18,0.26,0.22,1.48,1.36,0.42
"61","CBJ","D","2019-03-16",0.1,0.2,0.3,0.92,0.4,0.08,0.02,0,0.04,0.18,0,0.02,1.42,4.998,23.84,1133.92,1.5,1.02,0,0,2,0.06,0.2,0.1,1.2,1.4,1.38
"62","CBJ","C","2019-03-16",0.16,0.22,0.38,0.64,0.2,0.14,0,0.02,0.02,0.22,0,0,1.26,5.998,16.58,847.02,1.36,0.56,4.32,3.4,29.95,0.18,0.28,0.26,1.68,1.2,0.5
"63","CBJ","F","2019-03-16",0.2,0.28,0.48,1,0.42,0.14,0.02,0.04,0.02,0.16,0.1,0.02,2.58,5.038,20.4,1020.24,1.06,0.22,0.86,1.22,14.9,0.18,0.28,0.22,1.74,1.44,0.5
"64","CBJ","D","2019-03-15",0.08,0.18,0.26,0.94,0.32,0.06,0.02,0,0.02,0.18,0,0,1.38,3.332,23.72,1137.06,1.84,0.98,0,0,2,0.04,0.16,0.16,1.4,1.86,1.18
"65","CBJ","C","2019-03-15",0.16,0.2,0.36,0.74,0.24,0.14,0,0.02,0.02,0.2,0,0,1.36,5.998,16.56,854.42,1.28,0.5,4.3,3.46,38.382,0.06,0.26,0.24,1.88,1.04,0.24
